epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,258.791,0.9147,1.93898,0.68667,1.06691,0,0.76374,0.74497,0.80274,0.61609,0.75966,0.74235,0.79539,0.50665,0.89588,1.96476,0.72396,1.03372,0,0.00123801,0.00123801,0.00123801
29,267.907,0.90934,1.97262,0.68181,1.07358,0,0.75116,0.75426,0.81384,0.61224,0.74526,0.74621,0.80247,0.50532,0.93802,2.00331,0.72986,1.10001,0,0.00123094,0.00123094,0.00123094
30,276.276,0.91032,1.93277,0.68482,1.06393,0,0.69561,0.69509,0.75071,0.57558,0.71457,0.66989,0.74302,0.47348,0.89855,1.90925,0.74153,1.04005,0,0.00122387,0.00122387,0.00122387
31,285.275,0.89409,1.92117,0.67043,1.0561,0,0.70352,0.74216,0.78225,0.60073,0.69894,0.73626,0.77621,0.50176,0.90297,1.93617,0.73752,1.04873,0,0.00121679,0.00121679,0.00121679
32,294.238,0.88228,1.88909,0.66944,1.05044,0,0.78149,0.75398,0.82204,0.62565,0.75143,0.77531,0.81703,0.51139,0.90343,2.00468,0.6933,1.04237,0,0.00120972,0.00120972,0.00120972
33,303.174,0.89051,1.92196,0.6555,1.06067,0,0.76492,0.74853,0.79813,0.61796,0.76043,0.74242,0.79048,0.50258,0.87666,1.90856,0.68679,1.04277,0,0.00120265,0.00120265,0.00120265
34,311.09,0.89504,1.92678,0.65731,1.06391,0,0.72976,0.71858,0.7596,0.55112,0.72472,0.7105,0.74666,0.44942,1.00798,2.05173,0.74199,1.12705,0,0.00119557,0.00119557,0.00119557
35,319.374,0.89785,1.93387,0.65506,1.06442,0,0.73473,0.73543,0.77046,0.58059,0.74571,0.71746,0.76033,0.47355,0.89934,1.98331,0.72947,1.04444,0,0.0011885,0.0011885,0.0011885
36,327.966,0.88071,1.89037,0.6437,1.05494,0,0.73109,0.79096,0.80169,0.61871,0.72379,0.78703,0.79466,0.50777,0.88124,1.88188,0.69243,1.02718,0,0.00118143,0.00118143,0.00118143
37,336.288,0.85987,1.85903,0.63365,1.04407,0,0.685,0.75646,0.77635,0.60198,0.68194,0.7525,0.77134,0.49562,0.88273,1.93098,0.75526,1.04346,0,0.00117435,0.00117435,0.00117435
38,345.121,0.87807,1.89035,0.62643,1.05056,0,0.71679,0.72965,0.74978,0.58086,0.71246,0.72454,0.74261,0.47979,0.88019,1.87963,0.71149,1.03103,0,0.00116728,0.00116728,0.00116728
39,353.771,0.87282,1.88148,0.62721,1.04998,0,0.70306,0.77125,0.77021,0.59516,0.70488,0.75046,0.76092,0.48792,0.88305,1.90139,0.72194,1.03524,0,0.00116021,0.00116021,0.00116021
40,362.03,0.87789,1.90133,0.6306,1.05226,0,0.77371,0.74044,0.78141,0.59981,0.77031,0.73609,0.77464,0.50266,0.9004,1.93494,0.71258,1.03319,0,0.00115313,0.00115313,0.00115313
41,370.756,0.87813,1.8996,0.62356,1.04743,0,0.74329,0.74757,0.77659,0.60055,0.74018,0.74279,0.77116,0.49652,0.87315,1.89945,0.73372,1.02654,0,0.00114606,0.00114606,0.00114606
42,379.495,0.85474,1.86513,0.62668,1.04171,0,0.75863,0.71708,0.76645,0.58941,0.77484,0.69316,0.75616,0.48206,0.8675,1.91974,0.72811,1.03082,0,0.00113898,0.00113898,0.00113898
43,388.327,0.86794,1.86674,0.62419,1.04579,0,0.75908,0.76901,0.79655,0.61352,0.75403,0.76249,0.78966,0.50219,0.87753,1.9195,0.66858,1.02809,0,0.00113191,0.00113191,0.00113191
44,397.395,0.87662,1.9138,0.62205,1.04808,0,0.75827,0.75288,0.80265,0.61837,0.75792,0.75104,0.79692,0.50846,0.88502,1.90057,0.66388,1.02668,0,0.00112484,0.00112484,0.00112484
45,406.043,0.86453,1.87,0.61524,1.04424,0,0.73338,0.7627,0.78817,0.60781,0.7282,0.75698,0.77753,0.50074,0.88914,1.89367,0.68351,1.02736,0,0.00111776,0.00111776,0.00111776
46,414.354,0.87131,1.87931,0.61555,1.04734,0,0.73931,0.76449,0.79902,0.6193,0.73467,0.75976,0.7909,0.49429,0.86982,1.9219,0.66553,1.02765,0,0.00111069,0.00111069,0.00111069
