epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,367.382,0.88925,0.66287,1.0618,0.77502,0.71695,0.78803,0.60175,0.9055,0.70807,1.0383,0.00113898,0.00113898,0.00113898
43,375.865,0.89314,0.64994,1.05934,0.77745,0.70948,0.75699,0.56071,0.92801,0.78194,1.06592,0.00113191,0.00113191,0.00113191
44,384.841,0.90553,0.65249,1.06543,0.75351,0.72313,0.78118,0.58269,0.93424,0.71876,1.05217,0.00112484,0.00112484,0.00112484
45,392.733,0.89062,0.6395,1.05936,0.74865,0.7086,0.76941,0.5793,0.89756,0.72722,1.02805,0.00111776,0.00111776,0.00111776
46,401.522,0.89152,0.63575,1.0621,0.73722,0.73386,0.78572,0.5931,0.89904,0.68963,1.03616,0.00111069,0.00111069,0.00111069
47,409.993,0.87853,0.62843,1.04985,0.77951,0.74909,0.78408,0.59866,0.89751,0.70808,1.04198,0.00110362,0.00110362,0.00110362
48,418.346,0.88472,0.63514,1.0598,0.76449,0.72415,0.76592,0.58737,0.91336,0.72389,1.05179,0.00109654,0.00109654,0.00109654
49,426.76,0.89643,0.63873,1.06004,0.75456,0.75351,0.79659,0.60962,0.90729,0.69041,1.03175,0.00108947,0.00108947,0.00108947
50,434.827,0.88448,0.62752,1.05824,0.78271,0.75965,0.80512,0.61782,0.90048,0.68538,1.03847,0.0010824,0.0010824,0.0010824
51,443.812,0.87545,0.61804,1.04911,0.76019,0.70961,0.7374,0.56205,0.90495,0.82574,1.03403,0.00107532,0.00107532,0.00107532
52,453.222,0.87586,0.61313,1.05278,0.77693,0.73295,0.78477,0.59481,0.90938,0.70402,1.03883,0.00106825,0.00106825,0.00106825
53,461.543,0.87299,0.60747,1.04899,0.7411,0.71926,0.77019,0.58093,0.92472,0.7284,1.04426,0.00106118,0.00106118,0.00106118
54,470.061,0.87129,0.61284,1.05062,0.79175,0.74777,0.80902,0.6076,0.90936,0.68768,1.04347,0.0010541,0.0010541,0.0010541
55,478.673,0.87913,0.60478,1.05348,0.75055,0.76961,0.78844,0.59503,0.92495,0.72323,1.03792,0.00104703,0.00104703,0.00104703
56,486.582,0.88074,0.60463,1.05106,0.80169,0.74027,0.79575,0.60891,0.90159,0.69887,1.03468,0.00103995,0.00103995,0.00103995
57,495.276,0.85544,0.5936,1.04412,0.7812,0.7302,0.7792,0.59265,0.92106,0.69626,1.0483,0.00103288,0.00103288,0.00103288
58,503.744,0.8497,0.59947,1.04333,0.7269,0.71375,0.76645,0.58005,0.90925,0.72656,1.02949,0.00102581,0.00102581,0.00102581
59,512.714,0.86758,0.59848,1.04865,0.76907,0.73527,0.78694,0.59771,0.9062,0.68653,1.03411,0.00101873,0.00101873,0.00101873
60,522.23,0.85944,0.59827,1.04554,0.69217,0.77266,0.75479,0.57138,0.93252,0.70864,1.04699,0.00101166,0.00101166,0.00101166
61,530.631,0.85574,0.60028,1.0409,0.82462,0.7216,0.80899,0.61402,0.92127,0.67126,1.05245,0.00100459,0.00100459,0.00100459
62,538.488,0.86579,0.59579,1.05204,0.74428,0.73148,0.76433,0.58272,0.9035,0.70143,1.03209,0.000997513,0.000997513,0.000997513
63,546.183,0.85045,0.58466,1.03937,0.73486,0.77498,0.78334,0.60097,0.89616,0.69015,1.03403,0.00099044,0.00099044,0.00099044
64,554.651,0.84894,0.57411,1.03782,0.77226,0.73794,0.7806,0.59275,0.905,0.68606,1.0279,0.000983366,0.000983366,0.000983366
65,563.513,0.83494,0.57563,1.03256,0.77805,0.73816,0.7856,0.59259,0.90654,0.68949,1.03106,0.000976293,0.000976293,0.000976293
66,572.514,0.84443,0.57181,1.03342,0.76569,0.7592,0.80053,0.6127,0.89364,0.66196,1.02192,0.000969219,0.000969219,0.000969219
67,580.983,0.8383,0.58209,1.03066,0.77463,0.74721,0.77753,0.59675,0.90258,0.68343,1.03645,0.000962146,0.000962146,0.000962146
68,590.227,0.83709,0.5819,1.03252,0.76273,0.72096,0.77646,0.59936,0.90253,0.69547,1.03189,0.000955072,0.000955072,0.000955072
69,598.195,0.84839,0.57277,1.03861,0.76809,0.77248,0.80067,0.61409,0.89268,0.67559,1.02685,0.000947999,0.000947999,0.000947999
70,606.691,0.82776,0.56353,1.02983,0.78572,0.74366,0.78306,0.59177,0.93055,0.6973,1.05655,0.000940925,0.000940925,0.000940925
71,615.482,0.8293,0.55454,1.02817,0.75453,0.72548,0.76686,0.58611,0.90215,0.73119,1.04205,0.000933851,0.000933851,0.000933851
72,622.948,0.83363,0.56571,1.03157,0.76405,0.72987,0.78008,0.59072,0.90172,0.72834,1.03114,0.000926778,0.000926778,0.000926778
73,632.022,0.82408,0.56506,1.0264,0.77619,0.70964,0.75897,0.584,0.88918,0.71464,1.02132,0.000919704,0.000919704,0.000919704
74,640.436,0.83404,0.56303,1.03074,0.82414,0.69838,0.76176,0.57859,0.89767,0.74185,1.0328,0.000912631,0.000912631,0.000912631
75,648.805,0.82694,0.54818,1.02457,0.80106,0.73802,0.78212,0.60079,0.89506,0.67743,1.0328,0.000905557,0.000905557,0.000905557
76,657.225,0.82253,0.55434,1.02331,0.79523,0.70773,0.76512,0.58524,0.89699,0.72461,1.02581,0.000898484,0.000898484,0.000898484
77,665.551,0.81352,0.54755,1.01775,0.77947,0.72032,0.77811,0.5966,0.9036,0.71131,1.03115,0.00089141,0.00089141,0.00089141
78,674.577,0.81441,0.54994,1.02392,0.80072,0.73332,0.77237,0.5947,0.90038,0.70474,1.02981,0.000884337,0.000884337,0.000884337
79,682.954,0.82271,0.5515,1.02289,0.80979,0.74333,0.79288,0.61357,0.88812,0.70095,1.02451,0.000877263,0.000877263,0.000877263
80,691.104,0.82336,0.54832,1.0254,0.8018,0.71237,0.78848,0.60256,0.91052,0.69512,1.0275,0.00087019,0.00087019,0.00087019
