epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.7569,1.62195,3.41724,0.01432,0.79993,0.11419,0.14151,0.06864,1.3138,3.06884,0.01389,0.00046826,0.00046826,0.00046826
2,29.4999,1.23318,2.06784,0.01003,0.43341,0.50239,0.42729,0.27042,1.21473,1.89013,0.01299,0.000939917,0.000939917,0.000939917
3,38.8579,1.24306,1.6506,0.00978,0.44293,0.56896,0.49963,0.35237,1.08896,1.46994,0.01116,0.00140686,0.00140686,0.00140686
4,48.7502,1.20374,1.49935,0.00973,0.63121,0.57038,0.60956,0.43046,1.05048,1.34551,0.01069,0.00140778,0.00140778,0.00140778
5,57.1949,1.17076,1.32365,0.00925,0.62138,0.58286,0.62106,0.43764,1.0563,1.21346,0.01093,0.00140071,0.00140071,0.00140071
6,67.1556,1.14846,1.25829,0.00913,0.58964,0.68513,0.66922,0.47793,1.02999,1.17248,0.01056,0.00139363,0.00139363,0.00139363
7,76.5959,1.11715,1.15058,0.0087,0.60742,0.63825,0.66268,0.47064,1.04258,1.09176,0.01062,0.00138656,0.00138656,0.00138656
8,86.5018,1.11604,1.09719,0.00878,0.56317,0.6862,0.61906,0.45105,1.0023,1.09873,0.01013,0.00137949,0.00137949,0.00137949
9,95.9567,1.10833,1.04307,0.0087,0.60257,0.71979,0.66507,0.49114,0.98489,0.94684,0.01003,0.00137241,0.00137241,0.00137241
10,104.962,1.10615,1.00217,0.00876,0.72646,0.68097,0.72361,0.52905,1.00276,0.95614,0.01034,0.00136534,0.00136534,0.00136534
11,114.668,1.08195,0.95319,0.00858,0.73009,0.69257,0.75943,0.56596,0.97905,0.8371,0.01023,0.00135826,0.00135826,0.00135826
12,124.263,1.08632,0.93107,0.00853,0.65545,0.70784,0.73693,0.54909,0.97441,0.84732,0.00989,0.00135119,0.00135119,0.00135119
13,133.645,1.06859,0.91319,0.00834,0.69436,0.66369,0.72071,0.53031,0.98321,0.89157,0.01013,0.00134412,0.00134412,0.00134412
14,142.381,1.06807,0.8935,0.00835,0.67526,0.69725,0.74029,0.54075,1.00725,0.80246,0.01009,0.00133704,0.00133704,0.00133704
15,150.933,1.06271,0.87046,0.00821,0.73518,0.68492,0.76175,0.57589,0.94355,0.7895,0.0096,0.00132997,0.00132997,0.00132997
16,159.529,1.06551,0.8525,0.00835,0.72453,0.71313,0.76214,0.57166,0.96604,0.76349,0.00992,0.0013229,0.0013229,0.0013229
17,169.062,1.05931,0.82024,0.00822,0.68891,0.70056,0.7378,0.53308,1.03331,0.81483,0.01053,0.00131582,0.00131582,0.00131582
18,178.231,1.05263,0.82162,0.00817,0.74423,0.70828,0.75997,0.56958,0.94959,0.75381,0.00969,0.00130875,0.00130875,0.00130875
19,187.08,1.02692,0.79988,0.00806,0.7411,0.69085,0.7564,0.56669,0.9513,0.75041,0.00974,0.00130168,0.00130168,0.00130168
20,195.387,1.03174,0.80102,0.00801,0.68429,0.69857,0.73331,0.55361,0.92322,0.76944,0.00946,0.0012946,0.0012946,0.0012946
21,203.813,1.03268,0.7976,0.00815,0.71428,0.725,0.757,0.56047,0.94743,0.759,0.00961,0.00128753,0.00128753,0.00128753
22,212.746,1.03916,0.81669,0.0083,0.75633,0.69836,0.73789,0.54738,0.97444,0.78897,0.00991,0.00128046,0.00128046,0.00128046
23,221.553,1.02377,0.75739,0.00789,0.71878,0.72428,0.7317,0.54985,0.94868,0.77753,0.00968,0.00127338,0.00127338,0.00127338
24,230.378,1.02868,0.75013,0.00811,0.75287,0.7451,0.76951,0.58193,0.9659,0.71333,0.00994,0.00126631,0.00126631,0.00126631
25,239.418,1.02296,0.75627,0.00812,0.68976,0.72616,0.74247,0.55942,0.97544,0.78292,0.01024,0.00125923,0.00125923,0.00125923
26,247.272,1.01698,0.73205,0.00781,0.71779,0.73484,0.76885,0.58132,0.94328,0.69515,0.00958,0.00125216,0.00125216,0.00125216
27,255.485,1.03362,0.73303,0.00812,0.73519,0.71708,0.74494,0.55007,0.97045,0.77579,0.0098,0.00124509,0.00124509,0.00124509
28,264.175,1.00767,0.71897,0.00779,0.73413,0.72667,0.75627,0.56679,0.93243,0.72987,0.00947,0.00123801,0.00123801,0.00123801
29,272.939,0.99746,0.72014,0.00792,0.72047,0.72695,0.76145,0.57137,0.94965,0.72638,0.00964,0.00123094,0.00123094,0.00123094
30,282.409,1.00243,0.73636,0.00776,0.73028,0.72112,0.75582,0.57297,0.94438,0.75753,0.00957,0.00122387,0.00122387,0.00122387
31,291.404,0.99287,0.71713,0.00757,0.69993,0.73257,0.74423,0.56023,0.94252,0.725,0.00962,0.00121679,0.00121679,0.00121679
32,300.321,0.97334,0.68131,0.00734,0.74041,0.75822,0.77325,0.58427,0.94873,0.72569,0.00964,0.00120972,0.00120972,0.00120972
33,309.321,0.98727,0.69431,0.00766,0.73098,0.71436,0.76773,0.58027,0.92578,0.70182,0.00938,0.00120265,0.00120265,0.00120265
34,317.192,0.99492,0.69849,0.00775,0.75786,0.74524,0.78464,0.58148,0.97918,0.72129,0.00999,0.00119557,0.00119557,0.00119557
35,325.428,0.98834,0.68504,0.00763,0.7173,0.75293,0.76762,0.57832,0.96642,0.7341,0.00979,0.0011885,0.0011885,0.0011885
36,333.917,0.97509,0.65793,0.00754,0.75527,0.74696,0.76942,0.57602,0.94118,0.70698,0.00946,0.00118143,0.00118143,0.00118143
37,342.247,0.96074,0.66973,0.00738,0.7637,0.72821,0.76557,0.57136,0.92308,0.71358,0.00928,0.00117435,0.00117435,0.00117435
38,350.918,0.96969,0.65954,0.00738,0.70048,0.66457,0.69578,0.51529,0.92124,0.77259,0.00931,0.00116728,0.00116728,0.00116728
39,359.963,0.96452,0.64565,0.00735,0.74727,0.73095,0.75366,0.56049,0.95781,0.73752,0.00973,0.00116021,0.00116021,0.00116021
40,368.433,0.96914,0.64743,0.00739,0.75023,0.7144,0.74572,0.54668,1.02365,0.77297,0.01051,0.00115313,0.00115313,0.00115313
41,376.802,0.95963,0.63696,0.00729,0.71266,0.75041,0.76466,0.56338,0.96532,0.7565,0.00985,0.00114606,0.00114606,0.00114606
42,385.46,0.96643,0.66372,0.00745,0.70355,0.74964,0.75815,0.57166,0.93772,0.72824,0.00951,0.00113898,0.00113898,0.00113898
43,394.131,0.96928,0.64865,0.00734,0.72585,0.72122,0.7619,0.57217,0.95123,0.73735,0.00965,0.00113191,0.00113191,0.00113191
44,403.109,0.96948,0.64222,0.00735,0.7714,0.76107,0.76984,0.57805,0.92776,0.71641,0.00943,0.00112484,0.00112484,0.00112484
45,411.295,0.95453,0.64043,0.00732,0.70124,0.74028,0.74037,0.56447,0.9289,0.7197,0.00946,0.00111776,0.00111776,0.00111776
46,419.676,0.95056,0.62636,0.00733,0.76027,0.7032,0.75945,0.58143,0.90789,0.72248,0.00925,0.00111069,0.00111069,0.00111069
47,428.755,0.93557,0.61052,0.00703,0.75421,0.75146,0.76232,0.58869,0.9158,0.71422,0.00928,0.00110362,0.00110362,0.00110362
48,436.528,0.94928,0.62396,0.00729,0.79788,0.71622,0.76179,0.57028,0.95318,0.80357,0.00968,0.00109654,0.00109654,0.00109654
49,445.619,0.95367,0.63126,0.00723,0.7274,0.75216,0.76361,0.58316,0.9377,0.69813,0.00948,0.00108947,0.00108947,0.00108947
50,453.742,0.95756,0.62215,0.0073,0.71787,0.7455,0.7596,0.56908,0.96627,0.73268,0.00986,0.0010824,0.0010824,0.0010824
51,462.877,0.93633,0.60607,0.00703,0.77392,0.74743,0.75513,0.56982,0.94651,0.76425,0.00955,0.00107532,0.00107532,0.00107532
52,472.063,0.93749,0.60342,0.00718,0.74222,0.72669,0.75212,0.56657,0.94212,0.75795,0.00958,0.00106825,0.00106825,0.00106825
53,480.771,0.94905,0.59355,0.00721,0.75666,0.74495,0.76246,0.57737,0.93767,0.75065,0.00947,0.00106118,0.00106118,0.00106118
54,489.555,0.93214,0.58626,0.00716,0.74071,0.76716,0.77375,0.5839,0.95688,0.71822,0.00975,0.0010541,0.0010541,0.0010541
55,498.34,0.93123,0.57925,0.00709,0.75838,0.71811,0.74673,0.56943,0.90245,0.74587,0.0091,0.00104703,0.00104703,0.00104703
