epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.9238,1.40019,2.79557,1.44442,0.04853,0.59474,0.2392,0.14454,1.12117,3.13464,1.21763,0.00046826,0.00046826,0.00046826
2,28.2472,1.20814,1.79944,1.21442,0.40455,0.37006,0.38548,0.236,1.16727,2.09794,1.17628,0.000939917,0.000939917,0.000939917
3,37.2037,1.20158,1.59865,1.19596,0.51698,0.62914,0.54874,0.37364,1.09395,1.58835,1.17414,0.00140686,0.00140686,0.00140686
4,45.998,1.18572,1.44217,1.19209,0.50848,0.59778,0.56355,0.39649,1.08758,1.57776,1.19488,0.00140778,0.00140778,0.00140778
5,55.1862,1.17153,1.35577,1.18782,0.57167,0.50867,0.54077,0.35445,1.14578,1.41766,1.17707,0.00140071,0.00140071,0.00140071
6,65.2618,1.13931,1.25597,1.16734,0.60249,0.61349,0.62102,0.44174,1.0443,1.20558,1.12077,0.00139363,0.00139363,0.00139363
7,74.2498,1.10548,1.15842,1.15291,0.65895,0.64348,0.66932,0.48132,0.99241,1.12152,1.10733,0.00138656,0.00138656,0.00138656
8,84.7899,1.12092,1.11784,1.16635,0.63405,0.66693,0.6712,0.48145,1.02114,1.03353,1.14231,0.00137949,0.00137949,0.00137949
9,93.8802,1.10488,1.05516,1.15973,0.68554,0.56602,0.6546,0.44885,1.08611,1.09066,1.1909,0.00137241,0.00137241,0.00137241
10,102.152,1.11758,1.03128,1.15875,0.64818,0.62101,0.64512,0.46376,1.03416,1.065,1.13374,0.00136534,0.00136534,0.00136534
11,110.431,1.08651,0.97968,1.15886,0.72024,0.68164,0.74531,0.54563,1.04373,0.90066,1.16241,0.00135826,0.00135826,0.00135826
12,118.93,1.09271,0.96184,1.15976,0.61288,0.64856,0.65826,0.48112,0.99623,0.93334,1.12054,0.00135119,0.00135119,0.00135119
13,127.273,1.06928,0.93922,1.14247,0.71413,0.64877,0.68957,0.51057,0.98448,0.91147,1.11927,0.00134412,0.00134412,0.00134412
14,136.977,1.07102,0.91402,1.14458,0.71771,0.66185,0.72199,0.53158,1.01709,0.8812,1.11844,0.00133704,0.00133704,0.00133704
15,145.291,1.07505,0.89474,1.15052,0.65161,0.69731,0.70835,0.5237,0.99521,0.87108,1.15681,0.00132997,0.00132997,0.00132997
16,153.583,1.06531,0.86226,1.14452,0.68866,0.72502,0.75676,0.54964,1.03626,0.82619,1.22078,0.0013229,0.0013229,0.0013229
17,161.659,1.05761,0.84522,1.14024,0.74633,0.72859,0.78501,0.58164,1.00327,0.80652,1.13136,0.00131582,0.00131582,0.00131582
18,169.972,1.0468,0.84275,1.12997,0.72154,0.69045,0.74089,0.54721,0.99569,0.85029,1.11302,0.00130875,0.00130875,0.00130875
19,178.23,1.04019,0.84614,1.14018,0.69111,0.60567,0.67584,0.49244,1.02439,0.92869,1.13205,0.00130168,0.00130168,0.00130168
20,186.735,1.05037,0.84073,1.13726,0.71759,0.66191,0.74118,0.5496,0.96795,0.86081,1.14151,0.0012946,0.0012946,0.0012946
21,196.11,1.02733,0.81528,1.13833,0.73403,0.71492,0.77542,0.57441,0.96119,0.74726,1.12214,0.00128753,0.00128753,0.00128753
22,204.81,1.04067,0.82217,1.13633,0.70579,0.74128,0.75702,0.56683,0.96081,0.73473,1.12871,0.00128046,0.00128046,0.00128046
23,213.229,1.01862,0.78091,1.12021,0.75465,0.70079,0.74965,0.5648,0.95394,0.79865,1.12874,0.00127338,0.00127338,0.00127338
24,221.929,1.02661,0.77542,1.13269,0.7405,0.72626,0.77656,0.57949,0.96911,0.72122,1.11936,0.00126631,0.00126631,0.00126631
