epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,378.472,0.87193,0.61392,1.12702,0.70698,0.78216,0.79874,0.60079,0.92588,0.68336,1.25132,0.00113898,0.00113898,0.00113898
43,386.784,0.88156,0.60464,1.12544,0.80788,0.73451,0.80128,0.60805,0.91782,0.69972,1.2639,0.00113191,0.00113191,0.00113191
44,395.365,0.88361,0.60302,1.13096,0.78512,0.75441,0.81041,0.62049,0.89592,0.65793,1.23751,0.00112484,0.00112484,0.00112484
45,404.273,0.86762,0.59087,1.12532,0.7424,0.7568,0.78943,0.60281,0.89474,0.68979,1.23913,0.00111776,0.00111776,0.00111776
46,412.75,0.86774,0.58688,1.12387,0.75837,0.74875,0.79954,0.61092,0.89878,0.65998,1.23149,0.00111069,0.00111069,0.00111069
47,420.804,0.85145,0.5872,1.10982,0.7695,0.73412,0.7829,0.59006,0.90341,0.75993,1.26916,0.00110362,0.00110362,0.00110362
48,428.896,0.86749,0.58835,1.12285,0.77339,0.76796,0.79643,0.60166,0.90226,0.70216,1.27426,0.00109654,0.00109654,0.00109654
49,438.316,0.86626,0.59746,1.12359,0.76235,0.7966,0.8063,0.61206,0.88875,0.66947,1.24986,0.00108947,0.00108947,0.00108947
50,446.886,0.86608,0.58532,1.12386,0.72241,0.77017,0.78038,0.59434,0.88665,0.70145,1.23672,0.0010824,0.0010824,0.0010824
51,455.604,0.85316,0.57075,1.10834,0.7917,0.74103,0.77603,0.5861,0.91459,0.74354,1.28413,0.00107532,0.00107532,0.00107532
52,464.531,0.85228,0.55995,1.11462,0.80171,0.74738,0.79891,0.59897,0.90659,0.66623,1.26724,0.00106825,0.00106825,0.00106825
53,473.425,0.85194,0.55517,1.11029,0.78701,0.72961,0.79583,0.60729,0.89618,0.65802,1.24791,0.00106118,0.00106118,0.00106118
54,482.164,0.84138,0.56144,1.11037,0.7435,0.77811,0.80459,0.61686,0.88875,0.66238,1.24619,0.0010541,0.0010541,0.0010541
55,490,0.84311,0.56214,1.10769,0.75573,0.76951,0.78873,0.59553,0.90219,0.68242,1.27285,0.00104703,0.00104703,0.00104703
56,498.263,0.84969,0.56121,1.10732,0.79923,0.73925,0.79186,0.59892,0.89408,0.69024,1.25432,0.00103995,0.00103995,0.00103995
57,507.129,0.83764,0.55497,1.10572,0.75193,0.77572,0.80612,0.60739,0.91424,0.65979,1.284,0.00103288,0.00103288,0.00103288
58,515.897,0.82366,0.55214,1.10135,0.78573,0.75773,0.78639,0.6024,0.89368,0.71477,1.25909,0.00102581,0.00102581,0.00102581
