epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8369,1.64473,3.60974,2.40847,1.6329,0,0.37631,0.51753,0.42908,0.26262,0.33456,0.45578,0.32735,0.13596,1.33411,3.04018,1.65906,1.26492,0,0.00046826,0.00046826,0.00046826
2,27.8022,1.20744,2.51701,1.30026,1.28125,0,0.49689,0.5711,0.49962,0.34003,0.46239,0.53513,0.44243,0.20369,1.12946,2.63879,1.48332,1.12605,0,0.000939917,0.000939917,0.000939917
3,36.1017,1.13665,2.39894,1.12909,1.21051,0,0.6044,0.63077,0.60131,0.39577,0.59258,0.6159,0.57774,0.30587,1.15035,2.41505,1.24149,1.153,0,0.00140686,0.00140686,0.00140686
4,44.6508,1.1158,2.35426,1.04875,1.19572,0,0.65427,0.63423,0.66512,0.46366,0.64591,0.62555,0.64997,0.36888,1.10714,2.31271,1.13156,1.19638,0,0.00140778,0.00140778,0.00140778
5,53.4738,1.08435,2.27178,0.99852,1.17298,0,0.6662,0.69174,0.72469,0.51479,0.65538,0.68287,0.70795,0.40289,1.02245,2.29677,1.03615,1.12197,0,0.00140071,0.00140071,0.00140071
6,61.8415,1.0511,2.23977,0.97184,1.15581,0,0.66729,0.70721,0.728,0.53605,0.65953,0.69966,0.71865,0.42823,0.9996,2.23477,0.96659,1.1334,0,0.00139363,0.00139363,0.00139363
7,70.7749,1.02381,2.17094,0.91709,1.13642,0,0.64926,0.60744,0.64141,0.45308,0.63164,0.58724,0.61065,0.31666,0.98511,2.29293,0.95395,1.14022,0,0.00138656,0.00138656,0.00138656
8,79.2729,1.0268,2.19448,0.89415,1.14285,0,0.62106,0.71544,0.64733,0.46609,0.61505,0.70998,0.63421,0.3686,1.0027,2.16079,0.96975,1.13633,0,0.00137949,0.00137949,0.00137949
9,88.0626,1.01352,2.14176,0.86476,1.13229,0,0.6962,0.72655,0.75322,0.54079,0.68839,0.71648,0.74125,0.43573,1.01389,2.19207,0.88442,1.16228,0,0.00137241,0.00137241,0.00137241
10,97.0673,1.00503,2.11828,0.84707,1.13085,0,0.72875,0.67872,0.73305,0.5434,0.72266,0.67111,0.71873,0.43519,0.99518,2.20227,0.89266,1.11512,0,0.00136534,0.00136534,0.00136534
